Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos_total
2021,2,Santa Cruz,44.01,172.45999999999998
2021,2,Santa Fe,75.07,301.1
2021,2,Santiago Del Estero,46.56,186.28
2021,2,Tierra Del Fuego,67.89,338.59000000000003
2021,2,Tucumán,54.93,220.32
2021,1,Buenos Aires,69.11,286.45
2021,1,Capital Federal,108.42,441.1
2021,1,Catamarca,48.9,209.2
2021,1,Chaco,43.14,173.48
2021,1,Chubut,68.99,304.56
2021,1,Córdoba,78.59,324.5
2021,1,Corrientes,42.66,176.60999999999999
2021,1,Entre Ríos,60.44,247.44
2021,1,Formosa,32.73,134.37
2021,1,Jujuy,55.63,224.42000000000002
2021,1,La Pampa,81.78,337.71
2021,1,La Rioja,49.81,281.97
2021,1,Mendoza,39.15,173.18
2021,1,Misiones,43.17,182.81
2021,1,Neuquén,66.84,278.99
2021,1,Río Negro,60.88,250.48
2021,1,Salta,53.93,221.63
2021,1,San Juan,39.06,157.39000000000001
2021,1,San Luis,81.24,324.89
2021,1,Santa Cruz,41.65,172.45999999999998
2021,1,Santa Fe,73.92,301.1
2021,1,Santiago Del Estero,45.67,186.28
2021,1,Tierra Del Fuego,77.35,338.59000000000003
2021,1,Tucumán,54.82,220.32
2020,4,Buenos Aires,68.98,266.19
2020,4,Capital Federal,108.31,428.38
2020,4,Catamarca,49.41,179.62
2020,4,Chaco,43.03,161.88
2020,4,Chubut,68.35,245.3
2020,4,Córdoba,78.08,296.7
2020,4,Corrientes,42.43,163.20999999999998
2020,4,Entre Ríos,59.47,230.32
2020,4,Formosa,32.49,125.77000000000001
2020,4,Jujuy,53.46,202.06
2020,4,La Pampa,81.77,312.9
2020,4,La Rioja,50.11,196.42000000000002
2020,4,Mendoza,38.63,145.37
2020,4,Misiones,42.64,164.15
2020,4,Neuquén,67.0,257.99
2020,4,Río Negro,61.09,229.63
2020,4,Salta,54.04,207.54
2020,4,San Juan,36.32,142.59
2020,4,San Luis,81.68,316.36
2020,4,Santa Cruz,37.0,144.71
2020,4,Santa Fe,73.58,285.22
2020,4,Santiago Del Estero,43.75,173.07
2020,4,Tierra Del Fuego,76.27,305.52
2020,4,Tucumán,54.78,207.64
2020,3,Buenos Aires,67.66,266.19
2020,3,Capital Federal,107.68,428.38
2020,3,Catamarca,47.16,179.62
2020,3,Chaco,41.54,161.88
2020,3,Chubut,68.34,245.3
2020,3,Córdoba,75.22,296.7
2020,3,Corrientes,41.75,163.20999999999998
2020,3,Entre Ríos,58.19,230.32
2020,3,Formosa,31.91,125.77000000000001
2020,3,Jujuy,54.04,202.06
2020,3,La Pampa,79.26,312.9
2020,3,La Rioja,50.12,196.42000000000002
2020,3,Mendoza,37.35,145.37
2020,3,Misiones,41.6,164.15
2020,3,Neuquén,65.24,257.99
2020,3,Río Negro,57.05,229.63
2020,3,Salta,52.32,207.54
2020,3,San Juan,38.79,142.59
2020,3,San Luis,79.96,316.36
2020,3,Santa Cruz,35.95,144.71
2020,3,Santa Fe,72.12,285.22
2020,3,Santiago Del Estero,43.38,173.07
2020,3,Tierra Del Fuego,76.81,305.52
2020,3,Tucumán,53.23,207.64
2020,2,Buenos Aires,65.22,266.19
2020,2,Capital Federal,106.41,428.38
2020,2,Catamarca,45.43,179.62
2020,2,Chaco,39.83,161.88
2020,2,Chubut,57.34,245.3
2020,2,Córdoba,72.71,296.7
2020,2,Corrientes,40.3,163.20999999999998
2020,2,Entre Ríos,56.54,230.32
2020,2,Formosa,31.14,125.77000000000001
2020,2,Jujuy,47.89,202.06
2020,2,La Pampa,76.1,312.9
2020,2,La Rioja,49.84,196.42000000000002
2020,2,Mendoza,36.25,145.37
2020,2,Misiones,40.89,164.15
2020,2,Neuquén,63.9,257.99
2020,2,Río Negro,56.37,229.63
2020,2,Salta,51.58,207.54
2020,2,San Juan,35.09,142.59
2020,2,San Luis,78.41,316.36
2020,2,Santa Cruz,35.79,144.71
2020,2,Santa Fe,70.0,285.22
2020,2,Santiago Del Estero,43.47,173.07
2020,2,Tierra Del Fuego,76.37,305.52
2020,2,Tucumán,51.78,207.64
2020,1,Buenos Aires,64.33,266.19
2020,1,Capital Federal,105.98,428.38
2020,1,Catamarca,37.62,179.62
2020,1,Chaco,37.48,161.88
2020,1,Chubut,51.27,245.3
2020,1,Córdoba,70.69,296.7
2020,1,Corrientes,38.73,163.20999999999998
2020,1,Entre Ríos,56.12,230.32
2020,1,Formosa,30.23,125.77000000000001
2020,1,Jujuy,46.67,202.06
2020,1,La Pampa,75.77,312.9
2020,1,La Rioja,46.35,196.42000000000002
2020,1,Mendoza,33.14,145.37
2020,1,Misiones,39.02,164.15
2020,1,Neuquén,61.85,257.99
2020,1,Río Negro,55.12,229.63
2020,1,Salta,49.6,207.54
2020,1,San Juan,32.39,142.59
2020,1,San Luis,76.31,316.36
2020,1,Santa Cruz,35.97,144.71
2020,1,Santa Fe,69.52,285.22
2020,1,Santiago Del Estero,42.47,173.07
2020,1,Tierra Del Fuego,76.07,305.52
2020,1,Tucumán,47.85,207.64
2019,4,Buenos Aires,64.25,267.7
2019,4,Capital Federal,106.25,438.65
2019,4,Catamarca,36.44,131.64
2019,4,Chaco,36.84,139.47
2019,4,Chubut,51.15,188.71
2019,4,Córdoba,70.48,272.65999999999997
2019,4,Corrientes,38.77,150.55
2019,4,Entre Ríos,57.99,230.16
2019,4,Formosa,30.47,120.68
2019,4,Jujuy,45.38,180.62
2019,4,La Pampa,76.92,307.8
2019,4,La Rioja,47.14,193.96
2019,4,Mendoza,33.65,152.8
2019,4,Misiones,39.79,154.53
2019,4,Neuquén,59.36,245.46
2019,4,Río Negro,55.71,233.79000000000002
2019,4,Salta,50.35,176.82
2019,4,San Juan,32.85,137.34
2019,4,San Luis,74.92,309.28000000000003
2019,4,Santa Cruz,36.71,124.86000000000001
2019,4,Santa Fe,69.48,272.74
2019,4,Santiago Del Estero,42.92,188.53
2019,4,Tierra Del Fuego,79.7,364.34
2019,4,Tucumán,47.65,168.91
2019,3,Buenos Aires,69.36,267.7
2019,3,Capital Federal,112.65,438.65
2019,3,Catamarca,30.88,131.64
2019,3,Chaco,35.85,139.47
2019,3,Chubut,47.57,188.71
2019,3,Córdoba,68.59,272.65999999999997
2019,3,Corrientes,38.49,150.55
2019,3,Entre Ríos,57.9,230.16
2019,3,Formosa,30.11,120.68
2019,3,Jujuy,44.32,180.62
2019,3,La Pampa,77.45,307.8
2019,3,La Rioja,47.94,193.96
2019,3,Mendoza,40.74,152.8
2019,3,Misiones,39.33,154.53
2019,3,Neuquén,64.14,245.46
2019,3,Río Negro,63.42,233.79000000000002
2019,3,Salta,44.48,176.82
2019,3,San Juan,37.06,137.34
2019,3,San Luis,85.23,309.28000000000003
2019,3,Santa Cruz,35.63,124.86000000000001
2019,3,Santa Fe,68.87,272.74
2019,3,Santiago Del Estero,55.3,188.53
2019,3,Tierra Del Fuego,96.46,364.34
2019,3,Tucumán,39.49,168.91
2019,2,Buenos Aires,67.85,267.7
2019,2,Capital Federal,110.55,438.65
2019,2,Catamarca,32.13,131.64
2019,2,Chaco,34.14,139.47
2019,2,Chubut,46.99,188.71
2019,2,Córdoba,68.07,272.65999999999997
2019,2,Corrientes,38.16,150.55
2019,2,Entre Ríos,57.48,230.16
2019,2,Formosa,30.42,120.68
2019,2,Jujuy,44.51,180.62
2019,2,La Pampa,77.08,307.8
2019,2,La Rioja,48.7,193.96
2019,2,Mendoza,40.75,152.8
2019,2,Misiones,39.15,154.53
2019,2,Neuquén,63.08,245.46
2019,2,Río Negro,61.09,233.79000000000002
2019,2,Salta,41.89,176.82
2019,2,San Juan,35.6,137.34
2019,2,San Luis,81.79,309.28000000000003
2019,2,Santa Cruz,28.85,124.86000000000001
2019,2,Santa Fe,67.42,272.74
2019,2,Santiago Del Estero,52.79,188.53
2019,2,Tierra Del Fuego,94.8,364.34
2019,2,Tucumán,40.14,168.91
2019,1,Buenos Aires,66.24,267.7
2019,1,Capital Federal,109.2,438.65
