Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Banda ancha fija (M),Dial up (M),Total (M)
2021,4,Corrientes,135908,4,135912,0.135908,4e-06,0.135912
2021,4,Entre Ríos,265024,22,265046,0.265024,2.2e-05,0.265046
2021,4,Formosa,53663,0,53663,0.053663,0.0,0.053663
2021,4,Jujuy,113915,0,113915,0.113915,0.0,0.113915
2021,4,La Pampa,106834,173,107007,0.106834,0.000173,0.107007
2021,4,La Rioja,83124,4,83128,0.083124,4e-06,0.083128
2021,4,Mendoza,266783,804,267587,0.266783,0.000804,0.267587
2021,4,Misiones,171132,0,171132,0.171132,0.0,0.171132
2021,4,Neuquén,146989,477,147466,0.146989,0.000477,0.147466
2021,4,Río Negro,153189,564,153753,0.153189,0.000564,0.153753
2021,4,Salta,199399,6,199405,0.199399,6e-06,0.199405
2021,4,San Juan,79667,291,79958,0.079667,0.000291,0.079958
2021,4,San Luis,118662,187,118849,0.118662,0.000187,0.118849
2021,4,Santa Cruz,48276,210,48486,0.048276,0.00021,0.048486
2021,4,Santa Fe,866265,176,866441,0.866265,0.000176,0.866441
2021,4,Santiago Del Estero,115859,2,115861,0.115859,2e-06,0.115861
2021,4,Tierra Del Fuego,52042,315,52357,0.052042,0.000315,0.052357
2021,4,Tucumán,238609,30,238639,0.238609,3e-05,0.238639
2021,3,Buenos Aires,4246425,5184,4251609,4.246425,0.005184,4.251609
2021,3,Capital Federal,1411797,1608,1413405,1.411797,0.001608,1.413405
2021,3,Catamarca,56253,1,56254,0.056253,1e-06,0.056254
2021,3,Chaco,139868,3,139871,0.139868,3e-06,0.139871
2021,3,Chubut,155266,800,156066,0.155266,0.0008,0.156066
2021,3,Córdoba,946726,62,946788,0.946726,6.2e-05,0.946788
2021,3,Corrientes,133816,3,133819,0.133816,3e-06,0.133819
2021,3,Entre Ríos,260360,15,260375,0.26036,1.5e-05,0.260375
2021,3,Formosa,52795,0,52795,0.052795,0.0,0.052795
2021,3,Jujuy,111158,0,111158,0.111158,0.0,0.111158
2021,3,La Pampa,100371,116,100487,0.100371,0.000116,0.100487
2021,3,La Rioja,82157,3,82160,0.082157,3e-06,0.08216
2021,3,Mendoza,255320,619,255939,0.25532,0.000619,0.255939
2021,3,Misiones,158528,0,158528,0.158528,0.0,0.158528
2021,3,Neuquén,139436,373,139809,0.139436,0.000373,0.139809
2021,3,Río Negro,144084,501,144585,0.144084,0.000501,0.144585
2021,3,Salta,195831,2,195833,0.195831,2e-06,0.195833
2021,3,San Juan,79227,256,79483,0.079227,0.000256,0.079483
2021,3,San Luis,117716,148,117864,0.117716,0.000148,0.117864
2021,3,Santa Cruz,48779,197,48976,0.048779,0.000197,0.048976
2021,3,Santa Fe,841433,151,841584,0.841433,0.000151,0.841584
2021,3,Santiago Del Estero,115457,1,115458,0.115457,1e-06,0.115458
2021,3,Tierra Del Fuego,49934,289,50223,0.049934,0.000289,0.050223
2021,3,Tucumán,232447,25,232472,0.232447,2.5e-05,0.232472
2021,2,Buenos Aires,4127167,5184,4132351,4.127167,0.005184,4.132351
2021,2,Capital Federal,1398747,1608,1400355,1.398747,0.001608,1.400355
2021,2,Catamarca,55743,1,55744,0.055743,1e-06,0.055744
2021,2,Chaco,140726,3,140729,0.140726,3e-06,0.140729
2021,2,Chubut,138412,825,139237,0.138412,0.000825,0.139237
